Month-Year,All-items CPI,Province
1978-02,35.4,Canada
1978-03,35.7,Canada
1978-04,35.8,Canada
1978-05,36.3,Canada
1978-06,36.6,Canada
1978-07,37.1,Canada
1978-08,37.2,Canada
1978-09,37.1,Canada
1978-10,37.6,Canada
1978-11,37.8,Canada
1978-12,37.9,Canada
1979-01,38.1,Canada
1979-02,38.6,Canada
1979-03,39,Canada
1979-04,39.3,Canada
1979-05,39.7,Canada
1979-06,39.9,Canada
1979-07,40.2,Canada
1979-08,40.3,Canada
1979-09,40.7,Canada
1979-10,41,Canada
1979-11,41.4,Canada
1979-12,41.6,Canada
1980-01,41.8,Canada
1980-02,42.3,Canada
1980-03,42.6,Canada
1980-04,42.9,Canada
1980-05,43.4,Canada
1980-06,43.9,Canada
1980-07,44.2,Canada
1980-08,44.7,Canada
1980-09,45,Canada
1980-10,45.4,Canada
1980-11,46,Canada
1980-12,46.2,Canada
1981-01,46.9,Canada
1981-02,47.4,Canada
1981-03,48,Canada
1981-04,48.3,Canada
1981-05,48.7,Canada
1981-06,49.5,Canada
1981-07,49.9,Canada
1981-08,50.3,Canada
1981-09,50.7,Canada
1981-10,51.2,Canada
1981-11,51.6,Canada
1981-12,51.8,Canada
1982-01,52.2,Canada
1982-02,52.8,Canada
1982-03,53.5,Canada
1982-04,53.8,Canada
1982-05,54.5,Canada
1982-06,55.1,Canada
1982-07,55.4,Canada
1982-08,55.6,Canada
1982-09,55.9,Canada
1982-10,56.3,Canada
1982-11,56.6,Canada
1982-12,56.6,Canada
1983-01,56.5,Canada
1983-02,56.8,Canada
1983-03,57.4,Canada
1983-04,57.4,Canada
1983-05,57.5,Canada
1983-06,58.1,Canada
1983-07,58.4,Canada
1983-08,58.7,Canada
1983-09,58.7,Canada
1983-10,59.1,Canada
1983-11,59.1,Canada
1983-12,59.2,Canada
1984-01,59.6,Canada
1984-02,59.9,Canada
1984-03,60,Canada
1984-04,60.2,Canada
1984-05,60.2,Canada
1984-06,60.6,Canada
1984-07,60.8,Canada
1984-08,60.8,Canada
1984-09,60.9,Canada
1984-10,61.1,Canada
1984-11,61.4,Canada
1984-12,61.4,Canada
1985-01,61.7,Canada
1985-02,62.1,Canada
1985-03,62.2,Canada
1985-04,62.5,Canada
1985-05,62.7,Canada
1985-06,63,Canada
1985-07,63.3,Canada
1985-08,63.3,Canada
1985-09,63.4,Canada
1985-10,63.6,Canada
1985-11,63.8,Canada
1985-12,64.1,Canada
1986-01,64.4,Canada
1986-02,64.7,Canada
1986-03,64.9,Canada
1986-04,64.9,Canada
1986-05,65.3,Canada
1986-06,65.4,Canada
1986-07,65.9,Canada
1986-08,66,Canada
1986-09,66,Canada
1986-10,66.4,Canada
1986-11,66.7,Canada
1986-12,66.8,Canada
1987-01,67,Canada
1987-02,67.3,Canada
1987-03,67.5,Canada
1987-04,67.9,Canada
1987-05,68.3,Canada
1987-06,68.5,Canada
1987-07,68.9,Canada
1987-08,69,Canada
1987-09,69,Canada
1987-10,69.2,Canada
1987-11,69.5,Canada
1987-12,69.6,Canada
1988-01,69.7,Canada
1988-02,70,Canada
1988-03,70.4,Canada
1988-04,70.6,Canada
1988-05,71,Canada
1988-06,71.2,Canada
1988-07,71.6,Canada
1988-08,71.7,Canada
1988-09,71.8,Canada
1988-10,72.2,Canada
1988-11,72.3,Canada
1988-12,72.3,Canada
1989-01,72.7,Canada
1989-02,73.2,Canada
1989-03,73.6,Canada
1989-04,73.8,Canada
1989-05,74.6,Canada
1989-06,74.9,Canada
1989-07,75.4,Canada
1989-08,75.5,Canada
1989-09,75.6,Canada
1989-10,75.9,Canada
1989-11,76.1,Canada
1989-12,76.1,Canada
1990-01,76.7,Canada
1990-02,77.2,Canada
1990-03,77.5,Canada
1990-04,77.5,Canada
1990-05,77.9,Canada
1990-06,78.2,Canada
1990-07,78.5,Canada
1990-08,78.6,Canada
1990-09,78.8,Canada
1990-10,79.5,Canada
1990-11,80,Canada
1990-12,79.9,Canada
1991-01,82,Canada
1991-02,82,Canada
1991-03,82.3,Canada
1991-04,82.3,Canada
1991-05,82.7,Canada
1991-06,83.1,Canada
1991-07,83.2,Canada
1991-08,83.3,Canada
1991-09,83.1,Canada
1991-10,83,Canada
1991-11,83.3,Canada
1991-12,82.9,Canada
1992-01,83.3,Canada
1992-02,83.3,Canada
1992-03,83.6,Canada
1992-04,83.7,Canada
1992-05,83.8,Canada
1992-06,84,Canada
1992-07,84.2,Canada
1992-08,84.2,Canada
1992-09,84.2,Canada
1992-10,84.3,Canada
1992-11,84.7,Canada
1992-12,84.7,Canada
1993-01,85,Canada
1993-02,85.3,Canada
1993-03,85.2,Canada
1993-04,85.2,Canada
1993-05,85.4,Canada
1993-06,85.4,Canada
1993-07,85.6,Canada
1993-08,85.7,Canada
1993-09,85.7,Canada
1993-10,85.9,Canada
1993-11,86.3,Canada
1993-12,86.1,Canada
1994-01,86.1,Canada
1994-02,85.4,Canada
1994-03,85.4,Canada
1994-04,85.4,Canada
1994-05,85.2,Canada
1994-06,85.4,Canada
1994-07,85.7,Canada
1994-08,85.8,Canada
1994-09,85.9,Canada
1994-10,85.7,Canada
1994-11,86.2,Canada
1994-12,86.3,Canada
1995-01,86.6,Canada
1995-02,87,Canada
1995-03,87.2,Canada
1995-04,87.5,Canada
1995-05,87.7,Canada
1995-06,87.7,Canada
1995-07,87.9,Canada
1995-08,87.7,Canada
1995-09,87.8,Canada
1995-10,87.7,Canada
1995-11,88,Canada
1995-12,87.8,Canada
1996-01,88,Canada
1996-02,88.1,Canada
1996-03,88.5,Canada
1996-04,88.7,Canada
1996-05,89,Canada
1996-06,89,Canada
1996-07,89,Canada
1996-08,89,Canada
1996-09,89.1,Canada
1996-10,89.3,Canada
1996-11,89.7,Canada
1996-12,89.7,Canada
1997-01,89.9,Canada
1997-02,90.1,Canada
1997-03,90.2,Canada
1997-04,90.2,Canada
1997-05,90.3,Canada
1997-06,90.5,Canada
1997-07,90.5,Canada
1997-08,90.6,Canada
1997-09,90.6,Canada
1997-10,90.6,Canada
1997-11,90.5,Canada
1997-12,90.4,Canada
1998-01,90.9,Canada
1998-02,91,Canada
1998-03,91.1,Canada
1998-04,91,Canada
1998-05,91.3,Canada
1998-06,91.4,Canada
1998-07,91.4,Canada
1998-08,91.4,Canada
1998-09,91.2,Canada
1998-10,91.6,Canada
1998-11,91.6,Canada
1998-12,91.3,Canada
1999-01,91.5,Canada
1999-02,91.6,Canada
1999-03,92,Canada
1999-04,92.5,Canada
1999-05,92.7,Canada
1999-06,92.9,Canada
1999-07,93.1,Canada
1999-08,93.3,Canada
1999-09,93.6,Canada
1999-10,93.7,Canada
1999-11,93.6,Canada
1999-12,93.7,Canada
2000-01,93.5,Canada
2000-02,94.1,Canada
2000-03,94.8,Canada
2000-04,94.5,Canada
2000-05,94.9,Canada
2000-06,95.5,Canada
2000-07,95.8,Canada
2000-08,95.7,Canada
2000-09,96.1,Canada
2000-10,96.3,Canada
2000-11,96.6,Canada
2000-12,96.7,Canada
2001-01,96.3,Canada
2001-02,96.8,Canada
2001-03,97.1,Canada
2001-04,97.8,Canada
2001-05,98.6,Canada
2001-06,98.7,Canada
2001-07,98.4,Canada
2001-08,98.4,Canada
2001-09,98.6,Canada
2001-10,98.1,Canada
2001-11,97.2,Canada
2001-12,97.4,Canada
2002-01,97.6,Canada
2002-02,98.2,Canada
2002-03,98.9,Canada
2002-04,99.5,Canada
2002-05,99.7,Canada
2002-06,99.9,Canada
2002-07,100.5,Canada
2002-08,100.9,Canada
2002-09,100.9,Canada
2002-10,101.2,Canada
2002-11,101.5,Canada
2002-12,101.1,Canada
2003-01,102,Canada
2003-02,102.8,Canada
2003-03,103.1,Canada
2003-04,102.4,Canada
2003-05,102.5,Canada
2003-06,102.5,Canada
2003-07,102.6,Canada
2003-08,102.9,Canada
2003-09,103.1,Canada
2003-10,102.8,Canada
2003-11,103.1,Canada
2003-12,103.2,Canada
2004-01,103.3,Canada
2004-02,103.5,Canada
2004-03,103.9,Canada
2004-04,104.1,Canada
2004-05,105,Canada
2004-06,105.1,Canada
2004-07,105,Canada
2004-08,104.8,Canada
2004-09,105,Canada
2004-10,105.2,Canada
2004-11,105.6,Canada
2004-12,105.4,Canada
2005-01,105.3,Canada
2005-02,105.7,Canada
2005-03,106.3,Canada
2005-04,106.6,Canada
2005-05,106.7,Canada
2005-06,106.9,Canada
2005-07,107.1,Canada
2005-08,107.5,Canada
2005-09,108.4,Canada
2005-10,107.9,Canada
2005-11,107.7,Canada
2005-12,107.6,Canada
2006-01,108.2,Canada
2006-02,108,Canada
2006-03,108.6,Canada
2006-04,109.2,Canada
2006-05,109.7,Canada
2006-06,109.5,Canada
2006-07,109.6,Canada
2006-08,109.8,Canada
2006-09,109.2,Canada
2006-10,109,Canada
2006-11,109.2,Canada
2006-12,109.4,Canada
2007-01,109.4,Canada
2007-02,110.2,Canada
2007-03,111.1,Canada
2007-04,111.6,Canada
2007-05,112.1,Canada
2007-06,111.9,Canada
2007-07,112,Canada
2007-08,111.7,Canada
2007-09,111.9,Canada
2007-10,111.6,Canada
2007-11,111.9,Canada
2007-12,112,Canada
2008-01,111.8,Canada
2008-02,112.2,Canada
2008-03,112.6,Canada
2008-04,113.5,Canada
2008-05,114.6,Canada
2008-06,115.4,Canada
2008-07,115.8,Canada
2008-08,115.6,Canada
2008-09,115.7,Canada
2008-10,114.5,Canada
2008-11,114.1,Canada
2008-12,113.3,Canada
2009-01,113,Canada
2009-02,113.8,Canada
2009-03,114,Canada
2009-04,113.9,Canada
2009-05,114.7,Canada
2009-06,115.1,Canada
2009-07,114.7,Canada
2009-08,114.7,Canada
2009-09,114.7,Canada
2009-10,114.6,Canada
2009-11,115.2,Canada
2009-12,114.8,Canada
2010-01,115.1,Canada
2010-02,115.6,Canada
2010-03,115.6,Canada
2010-04,116,Canada
2010-05,116.3,Canada
2010-06,116.2,Canada
2010-07,116.8,Canada
2010-08,116.7,Canada
2010-09,116.9,Canada
2010-10,117.4,Canada
2010-11,117.5,Canada
2010-12,117.5,Canada
2011-01,117.8,Canada
2011-02,118.1,Canada
2011-03,119.4,Canada
2011-04,119.8,Canada
2011-05,120.6,Canada
2011-06,119.8,Canada
2011-07,120,Canada
2011-08,120.3,Canada
2011-09,120.6,Canada
2011-10,120.8,Canada
2011-11,120.9,Canada
2011-12,120.2,Canada
2012-01,120.7,Canada
2012-02,121.2,Canada
2012-03,121.7,Canada
2012-04,122.2,Canada
2012-05,122.1,Canada
2012-06,121.6,Canada
2012-07,121.5,Canada
2012-08,121.8,Canada
2012-09,122,Canada
2012-10,122.2,Canada
2012-11,121.9,Canada
2012-12,121.2,Canada
2013-01,121.3,Canada
2013-02,122.7,Canada
2013-03,122.9,Canada
2013-04,122.7,Canada
2013-05,123,Canada
2013-06,123,Canada
2013-07,123.1,Canada
2013-08,123.1,Canada
2013-09,123.3,Canada
2013-10,123,Canada
2013-11,123,Canada
2013-12,122.7,Canada
2014-01,123.1,Canada
2014-02,124.1,Canada
2014-03,124.8,Canada
2014-04,125.2,Canada
2014-05,125.8,Canada
2014-06,125.9,Canada
2014-07,125.7,Canada
2014-08,125.7,Canada
2014-09,125.8,Canada
2014-10,125.9,Canada
2014-11,125.4,Canada
2014-12,124.5,Canada
2015-01,124.3,Canada
2015-02,125.4,Canada
2015-03,126.3,Canada
2015-04,126.2,Canada
2015-05,126.9,Canada
2015-06,127.2,Canada
2015-07,127.3,Canada
2015-08,127.3,Canada
2015-09,127.1,Canada
2015-10,127.2,Canada
2015-11,127.1,Canada
2015-12,126.5,Canada
2016-01,126.8,Canada
2016-02,127.1,Canada
2016-03,127.9,Canada
2016-04,128.3,Canada
2016-05,128.8,Canada
2016-06,129.1,Canada
2016-07,128.9,Canada
2016-08,128.7,Canada
2016-09,128.8,Canada
2016-10,129.1,Canada
2016-11,128.6,Canada
2016-12,128.4,Canada
2017-01,129.5,Canada
2017-02,129.7,Canada
2017-03,129.9,Canada
2017-04,130.4,Canada
2017-05,130.5,Canada
2017-06,130.4,Canada
2017-07,130.4,Canada
2017-08,130.5,Canada
2017-09,130.8,Canada
2017-10,130.9,Canada
2017-11,131.3,Canada
2017-12,130.8,Canada
2018-01,131.7,Canada
2018-02,132.5,Canada
2018-03,132.9,Canada
2018-04,133.3,Canada
2018-05,133.4,Canada
2018-06,133.6,Canada
2018-07,134.3,Canada
2018-08,134.2,Canada
2018-09,133.7,Canada
2018-10,134.1,Canada
2018-11,133.5,Canada
2018-12,133.4,Canada
2019-01,133.6,Canada
2019-02,134.5,Canada
2019-03,135.4,Canada
2019-04,136,Canada
2019-05,136.6,Canada
2019-06,136.3,Canada
2019-07,137,Canada
2019-08,136.8,Canada
2019-09,136.2,Canada
2019-10,136.6,Canada
2019-11,136.4,Canada
2019-12,136.4,Canada
2020-01,136.8,Canada
2020-02,137.4,Canada
2020-03,136.6,Canada
2020-04,135.7,Canada
2020-05,136.1,Canada
2020-06,137.2,Canada
2020-07,137.2,Canada
2020-08,137,Canada
2020-09,136.9,Canada
2020-10,137.5,Canada
2020-11,137.7,Canada
2020-12,137.4,Canada
2021-01,138.2,Canada
2021-02,138.9,Canada
2021-03,139.6,Canada
2021-04,140.3,Canada
2021-05,141,Canada
2021-06,141.4,Canada
2021-07,142.3,Canada
2021-08,142.6,Canada
2021-09,142.9,Canada
2021-10,143.9,Canada
2021-11,144.2,Canada
2021-12,144,Canada
2022-01,145.3,Canada
2022-02,146.8,Canada
2022-03,148.9,Canada
2022-04,149.8,Canada
2022-05,151.9,Canada
2022-06,152.9,Canada
2022-07,153.1,Canada
2022-08,152.6,Canada
2022-09,152.7,Canada
2022-10,153.8,Canada
2022-11,154,Canada
2022-12,153.1,Canada
2023-01,153.9,Canada
2023-02,154.5,Canada
2023-03,155.3,Canada
2023-04,156.4,Canada
2023-05,157,Canada
2023-06,157.2,Canada
2023-07,158.1,Canada
2023-08,158.7,Canada
2023-09,158.5,Canada
2023-10,158.6,Canada
2023-11,158.8,Canada
2023-12,158.3,Canada
2024-01,158.3,Canada
2024-02,158.8,Canada
2024-03,159.8,Canada
2024-04,160.6,Canada
2024-05,161.5,Canada
2024-06,161.4,Canada
1978-09,38.6,NL
1978-10,39.2,NL
1978-11,39.7,NL
1978-12,39.8,NL
1979-01,39.9,NL
1979-02,40.3,NL
1979-03,40.7,NL
1979-04,41.1,NL
1979-05,41.6,NL
1979-06,41.8,NL
1979-07,42.3,NL
1979-08,42.5,NL
1979-09,42.8,NL
1979-10,42.9,NL
1979-11,43.7,NL
1979-12,43.9,NL
1980-01,43.9,NL
1980-02,44.3,NL
1980-03,45,NL
1980-04,45.5,NL
1980-05,46.1,NL
1980-06,46.7,NL
1980-07,47.1,NL
1980-08,47.8,NL
1980-09,48.1,NL
1980-10,48.7,NL
1980-11,49.3,NL
1980-12,49.8,NL
1981-01,50.1,NL
1981-02,50.7,NL
1981-03,51.3,NL
1981-04,51.9,NL
1981-05,52.4,NL
1981-06,53.1,NL
1981-07,53.6,NL
1981-08,53.9,NL
1981-09,54.6,NL
1981-10,54.9,NL
1981-11,55.4,NL
1981-12,55.6,NL
1982-01,55.9,NL
1982-02,56.5,NL
1982-03,57.3,NL
1982-04,57.3,NL
1982-05,57.9,NL
1982-06,58.3,NL
1982-07,58.8,NL
1982-08,59,NL
1982-09,59.4,NL
1982-10,60,NL
1982-11,60.2,NL
1982-12,60.9,NL
1983-01,60.8,NL
1983-02,61.1,NL
1983-03,61.7,NL
1983-04,61.9,NL
1983-05,61.9,NL
1983-06,62.1,NL
1983-07,62.4,NL
1983-08,63,NL
1983-09,63.1,NL
1983-10,63.3,NL
1983-11,63.4,NL
1983-12,63.6,NL
1984-01,64.2,NL
1984-02,64.6,NL
1984-03,64.6,NL
1984-04,64.7,NL
1984-05,65,NL
1984-06,65.2,NL
1984-07,65.8,NL
1984-08,65.6,NL
1984-09,65.5,NL
1984-10,65.4,NL
1984-11,65.7,NL
1984-12,66,NL
1985-01,66.6,NL
1985-02,67.1,NL
1985-03,67.3,NL
1985-04,67.5,NL
1985-05,67.4,NL
1985-06,68.1,NL
1985-07,68.1,NL
1985-08,68.2,NL
1985-09,68.4,NL
1985-10,68.2,NL
1985-11,68.7,NL
1985-12,68.6,NL
1986-01,69,NL
1986-02,69.4,NL
1986-03,69.7,NL
1986-04,69.7,NL
1986-05,69.8,NL
1986-06,69.7,NL
1986-07,70,NL
1986-08,70.1,NL
1986-09,69.9,NL
1986-10,70.3,NL
1986-11,70.4,NL
1986-12,70.4,NL
1987-01,70.5,NL
1987-02,71,NL
1987-03,71.3,NL
1987-04,71.6,NL
1987-05,71.7,NL
1987-06,71.9,NL
1987-07,72.2,NL
1987-08,72.1,NL
1987-09,72,NL
1987-10,72.6,NL
1987-11,72.7,NL
1987-12,72.7,NL
1988-01,72.7,NL
1988-02,72.8,NL
1988-03,73.1,NL
1988-04,73.3,NL
1988-05,73.1,NL
1988-06,73.4,NL
1988-07,73.8,NL
1988-08,73.9,NL
1988-09,73.9,NL
1988-10,74,NL
1988-11,74.3,NL
1988-12,74.2,NL
1989-01,74.2,NL
1989-02,74.7,NL
1989-03,75.2,NL
1989-04,75.5,NL
1989-05,76,NL
1989-06,76.4,NL
1989-07,76.8,NL
1989-08,76.9,NL
1989-09,76.8,NL
1989-10,77,NL
1989-11,77.3,NL
1989-12,77.4,NL
1990-01,77.8,NL
1990-02,78.5,NL
1990-03,78.9,NL
1990-04,78.6,NL
1990-05,78.5,NL
1990-06,78.9,NL
1990-07,79.5,NL
1990-08,79.7,NL
1990-09,80.1,NL
1990-10,80.6,NL
1990-11,81,NL
1990-12,81.3,NL
1991-01,83.6,NL
1991-02,83.6,NL
1991-03,84.4,NL
1991-04,84.6,NL
1991-05,84.7,NL
1991-06,84.8,NL
1991-07,84.9,NL
1991-08,84.9,NL
