Province_x,Month-Year,Unemployment Rate,Minimum Wage
Canada,Apr-1989,7.8,$4.00
Canada,May-1989,7.7,$4.00
Canada,Jun-1989,7.5,$4.00
Canada,Jul-1989,7.5,$4.00
Canada,Aug-1989,7.3,$4.00
Canada,Sep-1989,7.3,$4.00
Canada,Oct-1989,7.2,$4.00
Canada,Nov-1989,7.5,$4.00
Canada,Dec-1989,7.7,$4.00
Canada,Jan-1990,7.9,$4.00
Canada,Feb-1990,7.7,$4.00
Canada,Mar-1990,7.3,$4.00
Canada,Apr-1990,7.6,$4.00
Canada,May-1990,7.8,$4.00
Canada,Jun-1990,7.6,$4.00
Canada,Jul-1990,7.9,$4.00
Canada,Aug-1990,8.1,$4.00
Canada,Sep-1990,8.5,$4.00
Canada,Oct-1990,8.8,$4.00
Canada,Nov-1990,9.1,$4.00
Canada,Dec-1990,9.5,$4.00
Canada,Jan-1991,9.8,$4.00
Canada,Feb-1991,10.2,$4.00
Canada,Mar-1991,10.5,$4.00
Canada,Apr-1991,10.3,$4.00
Canada,May-1991,10.2,$4.00
Canada,Jun-1991,10.5,$4.00
Canada,Jul-1991,10.5,$4.00
Canada,Aug-1991,10.5,$4.00
Canada,Sep-1991,10.3,$4.00
Canada,Oct-1991,10.3,$4.00
Canada,Nov-1991,10.4,$4.00
Canada,Dec-1991,10.3,$4.00
Canada,Jan-1992,10.4,$4.00
Canada,Feb-1992,10.5,$4.00
Canada,Mar-1992,10.9,$4.00
Canada,Apr-1992,10.7,$4.00
Canada,May-1992,10.9,$4.00
Canada,Jun-1992,11.4,$4.00
Canada,Jul-1992,11.3,$4.00
Canada,Aug-1992,11.7,$4.00
Canada,Sep-1992,11.6,$4.00
Canada,Oct-1992,11.4,$4.00
Canada,Nov-1992,12.1,$4.00
Canada,Dec-1992,11.7,$4.00
Canada,Jan-1993,11.2,$4.00
Canada,Feb-1993,11.0,$4.00
Canada,Mar-1993,11.2,$4.00
Canada,Apr-1993,11.6,$4.00
Canada,May-1993,11.6,$4.00
Canada,Jun-1993,11.7,$4.00
Canada,Jul-1993,11.6,$4.00
Canada,Aug-1993,11.2,$4.00
Canada,Sep-1993,11.5,$4.00
Canada,Oct-1993,11.3,$4.00
Canada,Nov-1993,11.2,$4.00
Canada,Dec-1993,11.4,$4.00
Canada,Jan-1994,11.4,$4.00
Canada,Feb-1994,11.1,$4.00
Canada,Mar-1994,10.6,$4.00
Canada,Apr-1994,10.9,$4.00
Canada,May-1994,10.7,$4.00
Canada,Jun-1994,10.3,$4.00
Canada,Jul-1994,10.1,$4.00
Canada,Aug-1994,10.2,$4.00
Canada,Sep-1994,10.1,$4.00
Canada,Oct-1994,10.0,$4.00
Canada,Nov-1994,9.7,$4.00
Canada,Dec-1994,9.6,$4.00
Canada,Jan-1995,9.6,$4.00
Canada,Feb-1995,9.6,$4.00
Canada,Mar-1995,9.7,$4.00
Canada,Apr-1995,9.5,$4.00
Canada,May-1995,9.5,$4.00
Canada,Jun-1995,9.5,$4.00
Canada,Jul-1995,9.6,$4.00
Canada,Aug-1995,9.5,$4.00
Canada,Sep-1995,9.2,$4.00
Canada,Oct-1995,9.3,$4.00
Canada,Nov-1995,9.2,$4.00
Canada,Dec-1995,9.4,$4.00
Canada,Jan-1996,9.4,$4.00
Canada,Feb-1996,9.5,$4.00
Canada,Mar-1996,9.6,$4.00
Canada,Apr-1996,9.3,$4.00
Canada,May-1996,9.2,$4.00
Canada,Jun-1996,9.8,$4.00
Canada,Jul-1996,9.7,$4.00
Canada,Aug-1996,9.4,
Canada,Sep-1996,9.9,
Canada,Oct-1996,9.9,
Canada,Nov-1996,9.9,
Canada,Dec-1996,9.7,
Canada,Jan-1997,9.5,
Canada,Feb-1997,9.5,
Canada,Mar-1997,9.3,
Canada,Apr-1997,9.4,
Canada,May-1997,9.4,
Canada,Jun-1997,9.1,
Canada,Jul-1997,8.9,
Canada,Aug-1997,8.9,
Canada,Sep-1997,8.8,
Canada,Oct-1997,8.9,
Canada,Nov-1997,8.9,
Canada,Dec-1997,8.5,
Canada,Jan-1998,8.8,
Canada,Feb-1998,8.6,
Canada,Mar-1998,8.4,
Canada,Apr-1998,8.3,
Canada,May-1998,8.3,
Canada,Jun-1998,8.4,
Canada,Jul-1998,8.3,
Canada,Aug-1998,8.1,
Canada,Sep-1998,8.2,
Canada,Oct-1998,8.0,
Canada,Nov-1998,8.0,
Canada,Dec-1998,8.1,
Canada,Jan-1999,7.9,
Canada,Feb-1999,7.9,
Canada,Mar-1999,7.9,
Canada,Apr-1999,8.2,
Canada,May-1999,7.9,
Canada,Jun-1999,7.6,
Canada,Jul-1999,7.6,
Canada,Aug-1999,7.4,
Canada,Sep-1999,7.5,
Canada,Oct-1999,7.2,
Canada,Nov-1999,6.9,
Canada,Dec-1999,6.8,
Canada,Jan-2000,6.8,
Canada,Feb-2000,6.9,
Canada,Mar-2000,6.9,
Canada,Apr-2000,6.7,
Canada,May-2000,6.6,
Canada,Jun-2000,6.7,
Canada,Jul-2000,6.8,
Canada,Aug-2000,7.0,
Canada,Sep-2000,6.9,
Canada,Oct-2000,7.0,
Canada,Nov-2000,6.9,
Canada,Dec-2000,6.8,
Canada,Jan-2001,6.9,
Canada,Feb-2001,7.0,
Canada,Mar-2001,7.1,
Canada,Apr-2001,7.1,
Canada,May-2001,7.0,
Canada,Jun-2001,7.2,
Canada,Jul-2001,7.1,
Canada,Aug-2001,7.2,
Canada,Sep-2001,7.2,
Canada,Oct-2001,7.3,
Canada,Nov-2001,7.5,
Canada,Dec-2001,8.1,
Canada,Jan-2002,8.0,
Canada,Feb-2002,7.9,
Canada,Mar-2002,7.9,
Canada,Apr-2002,7.7,
Canada,May-2002,7.8,
Canada,Jun-2002,7.6,
Canada,Jul-2002,7.6,
Canada,Aug-2002,7.4,
Canada,Sep-2002,7.6,
Canada,Oct-2002,7.6,
Canada,Nov-2002,7.5,
Canada,Dec-2002,7.6,
Canada,Jan-2003,7.5,
Canada,Feb-2003,7.5,
Canada,Mar-2003,7.4,
Canada,Apr-2003,7.6,
Canada,May-2003,7.8,
Canada,Jun-2003,7.6,
Canada,Jul-2003,7.7,
Canada,Aug-2003,7.8,
Canada,Sep-2003,7.9,
Canada,Oct-2003,7.6,
Canada,Nov-2003,7.4,
Canada,Dec-2003,7.3,
Canada,Jan-2004,7.3,
Canada,Feb-2004,7.3,
Canada,Mar-2004,7.3,
Canada,Apr-2004,7.2,
Canada,May-2004,7.1,
Canada,Jun-2004,7.2,
Canada,Jul-2004,7.1,
Canada,Aug-2004,7.0,
Canada,Sep-2004,6.9,
Canada,Oct-2004,7.1,
Canada,Nov-2004,7.2,
Canada,Dec-2004,7.1,
Canada,Jan-2005,6.9,
Canada,Feb-2005,7.0,
Canada,Mar-2005,6.9,
Canada,Apr-2005,6.7,
Canada,May-2005,7.0,
Canada,Jun-2005,6.8,
Canada,Jul-2005,6.7,
Canada,Aug-2005,6.7,
Canada,Sep-2005,6.7,
Canada,Oct-2005,6.7,
Canada,Nov-2005,6.3,
Canada,Dec-2005,6.6,
Canada,Jan-2006,6.7,
Canada,Feb-2006,6.6,
Canada,Mar-2006,6.5,
Canada,Apr-2006,6.5,
Canada,May-2006,6.2,
Canada,Jun-2006,6.3,
Canada,Jul-2006,6.5,
Canada,Aug-2006,6.5,
Canada,Sep-2006,6.5,
Canada,Oct-2006,6.3,
Canada,Nov-2006,6.5,
Canada,Dec-2006,6.3,
Canada,Jan-2007,6.4,
Canada,Feb-2007,6.3,
Canada,Mar-2007,6.3,
Canada,Apr-2007,6.3,
Canada,May-2007,6.2,
Canada,Jun-2007,6.1,
Canada,Jul-2007,6.0,
Canada,Aug-2007,6.0,
Canada,Sep-2007,6.0,
Canada,Oct-2007,6.0,
Canada,Nov-2007,6.1,
Canada,Dec-2007,6.2,
Canada,Jan-2008,6.1,
Canada,Feb-2008,6.1,
Canada,Mar-2008,6.2,
Canada,Apr-2008,6.2,
Canada,May-2008,6.2,
Canada,Jun-2008,6.1,
Canada,Jul-2008,6.2,
Canada,Aug-2008,6.2,
Canada,Sep-2008,6.3,
Canada,Oct-2008,6.4,
Canada,Nov-2008,6.7,
Canada,Dec-2008,7.0,
Canada,Jan-2009,7.5,
Canada,Feb-2009,8.1,
Canada,Mar-2009,8.3,
Canada,Apr-2009,8.4,
Canada,May-2009,8.6,
Canada,Jun-2009,8.8,
Canada,Jul-2009,8.8,
Canada,Aug-2009,8.8,
Canada,Sep-2009,8.5,
Canada,Oct-2009,8.5,
Canada,Nov-2009,8.6,
Canada,Dec-2009,8.6,
Canada,Jan-2010,8.4,
Canada,Feb-2010,8.4,
Canada,Mar-2010,8.3,
Canada,Apr-2010,8.2,
Canada,May-2010,8.1,
Canada,Jun-2010,8.0,
Canada,Jul-2010,8.2,
Canada,Aug-2010,8.2,
Canada,Sep-2010,8.2,
Canada,Oct-2010,8.1,
Canada,Nov-2010,7.8,
Canada,Dec-2010,7.8,
Canada,Jan-2011,7.8,
Canada,Feb-2011,7.8,
Canada,Mar-2011,7.8,
Canada,Apr-2011,7.8,
Canada,May-2011,7.7,
Canada,Jun-2011,7.7,
Canada,Jul-2011,7.4,
Canada,Aug-2011,7.4,
Canada,Sep-2011,7.4,
Canada,Oct-2011,7.5,
Canada,Nov-2011,7.6,
Canada,Dec-2011,7.5,
Canada,Jan-2012,7.7,
Canada,Feb-2012,7.6,
Canada,Mar-2012,7.3,
Canada,Apr-2012,7.4,
Canada,May-2012,7.5,
Canada,Jun-2012,7.4,
Canada,Jul-2012,7.3,
Canada,Aug-2012,7.4,
Canada,Sep-2012,7.4,
Canada,Oct-2012,7.4,
Canada,Nov-2012,7.3,
Canada,Dec-2012,7.2,
Canada,Jan-2013,7.1,
Canada,Feb-2013,7.0,
Canada,Mar-2013,7.3,
Canada,Apr-2013,7.2,
Canada,May-2013,7.0,
Canada,Jun-2013,7.2,
Canada,Jul-2013,7.3,
Canada,Aug-2013,7.2,
Canada,Sep-2013,7.1,
Canada,Oct-2013,7.2,
Canada,Nov-2013,7.1,
Canada,Dec-2013,7.4,
Canada,Jan-2014,7.2,
Canada,Feb-2014,7.2,
Canada,Mar-2014,7.1,
Canada,Apr-2014,7.1,
Canada,May-2014,7.3,
Canada,Jun-2014,7.1,
Canada,Jul-2014,7.1,
Canada,Aug-2014,7.0,
Canada,Sep-2014,7.0,
Canada,Oct-2014,6.8,
Canada,Nov-2014,6.8,
Canada,Dec-2014,6.7,
Canada,Jan-2015,6.8,
Canada,Feb-2015,6.9,
Canada,Mar-2015,6.8,
Canada,Apr-2015,6.9,
Canada,May-2015,6.8,
Canada,Jun-2015,6.9,
Canada,Jul-2015,6.9,
Canada,Aug-2015,7.0,
Canada,Sep-2015,7.1,
Canada,Oct-2015,7.0,
Canada,Nov-2015,7.1,
Canada,Dec-2015,7.2,
Canada,Jan-2016,7.3,
Canada,Feb-2016,7.3,
Canada,Mar-2016,7.2,
Canada,Apr-2016,7.3,
Canada,May-2016,7.0,
Canada,Jun-2016,6.9,
Canada,Jul-2016,6.9,
Canada,Aug-2016,6.9,
Canada,Sep-2016,7.0,
Canada,Oct-2016,6.9,
Canada,Nov-2016,6.8,
Canada,Dec-2016,6.9,
Canada,Jan-2017,6.8,
Canada,Feb-2017,6.6,
Canada,Mar-2017,6.7,
Canada,Apr-2017,6.5,
Canada,May-2017,6.6,
Canada,Jun-2017,6.5,
Canada,Jul-2017,6.3,
Canada,Aug-2017,6.2,
Canada,Sep-2017,6.2,
Canada,Oct-2017,6.4,
Canada,Nov-2017,6.1,
Canada,Dec-2017,6.0,
Canada,Jan-2018,5.9,
Canada,Feb-2018,6.0,
Canada,Mar-2018,5.8,
Canada,Apr-2018,5.8,
Canada,May-2018,5.9,
Canada,Jun-2018,6.0,
Canada,Jul-2018,5.9,
Canada,Aug-2018,6.0,
Canada,Sep-2018,5.8,
Canada,Oct-2018,5.7,
Canada,Nov-2018,5.7,
Canada,Dec-2018,5.7,
Canada,Jan-2019,5.7,
Canada,Feb-2019,5.8,
Canada,Mar-2019,5.9,
Canada,Apr-2019,5.7,
Canada,May-2019,5.4,
Canada,Jun-2019,5.6,
Canada,Jul-2019,5.8,
Canada,Aug-2019,5.8,
Canada,Sep-2019,5.6,
Canada,Oct-2019,5.6,
Canada,Nov-2019,5.9,
Canada,Dec-2019,5.6,
Canada,Jan-2020,5.5,
Canada,Feb-2020,5.7,
Canada,Mar-2020,8.4,
Canada,Apr-2020,13.6,
Canada,May-2020,14.1,
Canada,Jun-2020,12.4,
Canada,Jul-2020,11.0,
Canada,Aug-2020,10.2,
Canada,Sep-2020,9.2,
Canada,Oct-2020,9.0,
Canada,Nov-2020,8.7,
Canada,Dec-2020,8.9,
Canada,Jan-2021,9.2,
Canada,Feb-2021,8.5,
Canada,Mar-2021,7.7,
Canada,Apr-2021,8.2,
Canada,May-2021,8.3,
Canada,Jun-2021,7.9,
Canada,Jul-2021,7.4,
Canada,Aug-2021,7.1,
Canada,Sep-2021,7.0,
Canada,Oct-2021,6.5,
Canada,Nov-2021,6.1,
Canada,Dec-2021,5.9,
Canada,Jan-2022,6.5,$15.00
Canada,Feb-2022,5.5,$15.00
Canada,Mar-2022,5.4,$15.00
Canada,Apr-2022,5.3,$15.55
Canada,May-2022,5.2,$15.55
Canada,Jun-2022,5.0,$15.55
Canada,Jul-2022,4.8,$15.55
Canada,Aug-2022,5.2,$15.55
Canada,Sep-2022,5.1,$15.55
Canada,Oct-2022,5.1,$15.55
Canada,Nov-2022,5.1,$15.55
Canada,Dec-2022,5.0,$15.55
Canada,Jan-2023,5.0,$15.55
Canada,Feb-2023,5.1,$15.55
Canada,Mar-2023,5.1,$15.55
Canada,Apr-2023,5.1,$16.65
Canada,May-2023,5.3,$16.65
Canada,Jun-2023,5.4,$16.65
Canada,Jul-2023,5.5,$16.65
Canada,Aug-2023,5.5,$16.65
Canada,Sep-2023,5.6,$16.65
