Month-Year,Overnight money market financing
1980-01,13.270833333333334
1980-02,11.982758620689655
1980-03,11.42741935483871
1980-04,15.841666666666667
1980-05,17.052419354838708
1980-06,15.875
1980-07,11.463870967741935
1980-08,9.21774193548387
1980-09,9.55
1980-10,10.508064516129032
1980-11,10.3875
1980-12,16.427419354838708
1981-01,17.491935483870968
1981-02,15.955357142857142
1981-03,17.524193548387096
1981-04,17.1835
1981-05,16.133064516129032
1981-06,19.445833333333333
1981-07,18.870967741935484
1981-08,20.443548387096776
1981-09,19.275
1981-10,19.096774193548388
1981-11,19.220833333333335
1981-12,15.629032258064516
1982-01,13.548709677419355
1982-02,14.018392857142857
1982-03,16.16532258064516
1982-04,14.483333333333333
1982-05,15.593548387096773
1982-06,15.951666666666666
1982-07,15.816129032258065
1982-08,16.335322580645162
1982-09,13.956
1982-10,13.26774193548387
1982-11,11.902666666666669
1982-12,11.022258064516128
1983-01,10.86516129032258
1983-02,9.69357142857143
1983-03,9.284516129032259
1983-04,9.431333333333333
1983-05,9.562903225806451
1983-06,8.72
1983-07,8.884193548387097
1983-08,8.797419354838711
1983-09,9.282
1983-10,9.510967741935483
1983-11,9.367666666666667
1983-12,9.273548387096774
1984-01,9.782580645161291
1984-02,9.554827586206896
1984-03,9.441612903225806
1984-04,10.112166666666667
1984-05,9.77548387096774
1984-06,10.964666666666666
1984-07,11.653709677419354
1984-08,12.400322580645161
1984-09,12.213333333333333
1984-10,12.201774193548387
1984-11,11.971333333333332
1984-12,10.645483870967741
1985-01,10.012258064516129
1985-02,9.65625
1985-03,10.54483870967742
1985-04,10.133333333333333
1985-05,10.032903225806452
1985-06,10.0295
1985-07,9.25016129032258
1985-08,9.044354838709678
1985-09,8.745833333333334
1985-10,8.741935483870968
1985-11,9.125
1985-12,9.528225806451612
1986-01,10.10483870967742
1986-02,12.40625
1986-03,12.92741935483871
1986-04,10.454166666666667
1986-05,8.55241935483871
1986-06,8.275500000000001
1986-07,8.511451612903226
1986-08,8.10483870967742
1986-09,8.133333333333333
1986-10,8.314516129032258
1986-11,8.2875
1986-12,8.286290322580646
1987-01,8.147225806451612
1987-02,7.388464285714286
1987-03,7.175516129032258
1987-04,7.106466666666666
1987-05,7.518419354838709
1987-06,8.448133333333335
1987-07,8.542516129032258
1987-08,8.754161290322582
1987-09,8.811
1987-10,8.371935483870969
1987-11,8.252666666666666
1987-12,8.461612903225806
1988-01,8.586774193548386
1988-02,8.528275862068966
1988-03,8.44774193548387
1988-04,8.463666666666667
1988-05,8.655387096774193
1988-06,8.897233333333334
1988-07,8.979354838709678
1988-08,9.299354838709679
1988-09,9.879666666666667
1988-10,10.19483870967742
1988-11,10.142
1988-12,10.258709677419354
1989-01,10.515967741935484
1989-02,10.901785714285714
1989-03,11.30241935483871
1989-04,12.15625
1989-05,12.491935483870968
1989-06,12.447916666666666
1989-07,12.423387096774194
1989-08,12.314516129032258
1989-09,12.147916666666667
1989-10,12.159274193548388
1989-11,12.179166666666667
1989-12,12.175403225806452
1990-01,12.39516129032258
1990-02,12.767857142857142
1990-03,12.881048387096774
1990-04,12.825
1990-05,13.5625
1990-06,13.43125
1990-07,13.689516129032258
1990-08,13.59274193548387
1990-09,13.04375
1990-10,12.483870967741936
1990-11,12.50625
1990-12,11.893145161290322
1991-01,11.810483870967742
1991-02,11.234375
1991-03,9.935483870967742
1991-04,9.639583333333333
1991-05,9.262096774193548
1991-06,8.745833333333334
1991-07,8.64516129032258
1991-08,8.699596774193548
1991-09,8.775
1991-10,8.939516129032258
1991-11,8.072916666666666
1991-12,7.477822580645161
1992-01,7.457661290322581
1992-02,7.273706896551724
1992-03,6.981854838709677
1992-04,6.747916666666667
1992-05,6.358870967741935
1992-06,6.0375
1992-07,5.872983870967742
1992-08,5.169354838709677
1992-09,5.141666666666667
1992-10,7.846774193548387
1992-11,7.6375
1992-12,7.665322580645161
1993-01,6.657258064516129
1993-02,6.066964285714286
1993-03,5.120967741935484
1993-04,4.58125
1993-05,4.560483870967742
1993-06,4.441666666666666
1993-07,4.1875
1993-08,4.227822580645161
1993-09,4.33125
1993-10,4.550403225806452
1993-11,4.15625
1993-12,4.159274193548387
1994-01,3.965725806451613
1994-02,3.625
1994-03,3.939516129032258
1994-04,5.508333333333334
1994-05,5.780241935483871
1994-06,5.7
1994-07,5.639112903225806
1994-08,5.278225806451613
1994-09,5.104166666666667
1994-10,4.951612903225806
1994-11,5.079166666666667
1994-12,5.5
1995-01,6.542338709677419
1995-02,7.839285714285714
1995-03,8.09274193548387
1995-04,8.051833333333333
1995-05,7.724516129032258
1995-06,7.335
1995-07,6.775483870967742
1995-08,6.4396774193548385
1995-09,6.214333333333333
1995-10,6.223225806451612
1995-11,5.977666666666667
1995-12,5.916774193548386
1996-01,5.652903225806452
1996-02,5.247931034482758
1996-03,5.126451612903225
1996-04,4.8966666666666665
1996-05,4.758064516129032
1996-06,4.765666666666666
1996-07,4.6658064516129025
1996-08,4.2706451612903225
1996-09,4.036666666666666
1996-10,3.613225806451613
1996-11,3.091333333333333
1996-12,3.0306451612903227
1997-01,3.0106451612903227
1997-02,2.9971428571428573
1997-03,3.0003225806451614
1997-04,3.0060000000000002
1997-05,2.992903225806452
1997-06,3.0536666666666665
1997-07,3.2396774193548388
1997-08,3.29
1997-09,3.2670000000000003
1997-10,3.5245161290322584
1997-11,3.594333333333333
1997-12,4.086129032258064
1998-01,4.307096774193549
1998-02,4.743214285714286
1998-03,4.738387096774194
1998-04,4.741666666666666
1998-05,4.775806451612904
1998-06,4.754333333333333
